545d4b,N,1
7c2e99,N,0
b6591f,T,1
1feb0d,N,0
b1b05b,T,1
1ade41,T,0
30caaa,T,1
d244b0,T,0
d94885,T,1
dcd7d8,T,0
821710,T,1
907902,T,0
47f676,T,1
9b1794,T,0
92badb,T,1
eba93c,T,0
42a7d4,T,1
2ae259,T,0
65df02,T,1
666935,N,0
1e635d,N,1
4fcef0,N,0
c693d1,T,1
155aa1,N,0
9e73c4,T,1
3e883d,T,0
c959e1,T,1
94fda8,T,0
a7a6cc,T,1
d1c839,N,0
f9ef76,N,1
066175,T,0
e81160,T,1
4ac3f7,N,0
ed4f72,T,1
f3dcca,N,0
de2a16,T,1
54f368,N,0
28c2dd,N,1
eb9cf8,T,0
c43798,T,1
98903a,T,0
e896b3,T,1
04c082,T,0
a78e1c,T,1
ee81a4,N,0
3fdb38,T,1
5a2c06,T,0
255ac3,N,1
77cbfc,N,0
115695,N,1
cb947f,N,0
32d0e3,N,1
27c1c5,N,0
95e939,N,1
d0ba64,N,0
f0aa46,T,1
842e6a,N,0
744bd9,T,1
c5f069,T,0
91aeee,N,1
fdf845,N,0
840dc0,T,1
8da806,T,0
ff6891,T,1
3845d4,N,0
7aba58,N,1
6489e7,T,0
303365,T,1
97fa0a,T,0
b7199b,T,1
21df1b,N,0
35dff5,N,1
9197d5,T,0
9c0795,T,1
08de42,T,0
44592d,T,1
5bbd54,T,0
a1f91b,T,1
67419d,N,0
ba37c9,N,1
d3e41f,T,0
f74f7a,N,1
f1cdf1,T,0
b719a7,N,1
10305d,T,0
509fa7,T,1
b7eed6,N,0
4a4c43,T,1
566155,N,0
7d92b0,N,1
6d0752,N,0
66fb6c,N,1
ac09ce,N,0
4bff9f,N,1
00d9db,N,0
bc4549,T,1
ca3cab,N,0
f75bee,N,1
000365,N,0
6502ec,N,1
7faff1,N,0
7edd82,N,1
a81e0d,N,0
e006e7,N,1
e2cc88,N,0
74ae15,N,1
231cc9,N,0
e32fbc,N,1
a026cf,T,0
c30d93,T,1
936f01,T,0
ec3e91,T,1
54410a,N,0
8f916e,N,1
cbb1ad,N,0
fb9997,N,1
7f2bfb,T,0
437e4a,T,1
c29ee8,N,0
10933a,N,1
850b01,N,0
13c43a,N,1
3a8753,N,0
ac632b,N,1
ed4e90,N,0
836174,N,1
d34f23,N,0
4dd4b3,N,1
34ccec,N,0
8bb446,N,1
e55070,N,0
30f940,N,1
055e49,N,0
0502ef,T,1
04b487,N,0
1051d2,N,1
4f5a14,N,0
d9ffff,T,1
cfc0ba,N,0
d9cfa1,N,1
0967a4,N,0
b8905c,N,1
a78c70,N,0
db9c49,T,1
77a394,T,0
8c98de,N,1
d09f77,T,0
41973b,T,1
4350e9,N,0
e4af84,T,1
64653d,T,0
3417ac,N,1
1fe59b,T,0
a0a256,T,1
4fbd29,T,0
f72574,N,1
8c6343,T,0
928450,T,1
2f51a0,N,0
40609f,T,1
49f9f0,T,0
f435a2,N,1
08acc4,N,0
870255,T,1
08d31a,T,0
949a13,T,1
8924cb,N,0
5acd40,T,1
ef3d0b,N,0
626543,T,1
e4a1a8,T,0
392b93,N,1
7a1e79,N,0
889fa1,N,1
f7d873,N,0
067c8c,N,1
33f59e,N,0
c09916,N,1
a7fba4,N,0
2958b4,T,1
2c6b82,N,0
a95376,N,1
0146b5,N,0
5f4761,N,1
c59e3d,N,0
3a6504,N,1
5a8dbd,N,0
03afcc,N,1
635321,T,0
ad4648,N,1
e68156,N,0
319e5c,N,1
897f4e,N,0
2e08f6,T,1
9eebc0,N,0
205cf6,T,1
5b0eeb,N,0
c01179,N,1
9f2311,N,0
67ef06,N,1
aac8f1,N,0
7c223d,N,1
ac7153,N,0
8600fc,N,1
05ace4,N,0
3c64a9,N,1
7833ae,N,0
388db5,N,1
d52d05,T,0
6e9477,N,1
252ecf,N,0
c4b43b,N,1
a03335,N,0
359bf3,N,1
a44f76,T,0
4bc77a,T,1
51e058,N,0
b1c955,T,1
b2af12,N,0
8a5e7e,N,1
5565c4,T,0
753741,N,1
9b7126,N,0
86fcd9,T,1
4ec8f0,N,0
e4bbc9,N,1
0013e0,N,0
1bef2c,N,1
da6a55,T,0
e89713,N,1
3bce3a,N,0
c87753,T,1
6d0816,T,0
5aa22b,N,1
317e8d,T,0
29a695,N,1
375a81,N,0
30ac08,N,1
f8bb05,T,0
6c07d9,T,1
cd93b8,N,0
2bb145,N,1
3ed78d,N,0
d6e5f3,N,1
fd6db3,N,0
bd15e5,T,1
7641ab,T,0
24f8a5,T,1
4a602e,T,0
d136b1,N,1
b615ce,T,0
a0cb02,N,1
215355,N,0
2ad75d,T,1
b5a4a4,T,0
e85070,N,1
0250f5,N,0
7fee9f,T,1
313a44,N,0
ea75b8,N,1
150bc2,N,0
80f4ab,N,1
ac26a6,N,0
a022c8,T,1
78fbb1,N,0
4f1601,T,1
b909cd,T,0
c1ad1e,T,1
6aca99,T,0
abf1d4,N,1
ebb140,T,0
640ddb,N,1
fc4126,N,0
941739,T,1
9162cd,N,0
fc4f66,T,1
62910d,T,0
2a6496,N,1
f50df9,N,0
77a8a6,T,1
d0b024,T,0
62f1df,N,1
8ebe92,T,0
ead6e3,N,1
351a48,N,0
fdd67b,N,1
2c8789,N,0
57197d,N,1
62ce24,N,0
4732d3,N,1
c5576f,N,0
07c8b6,N,1
e5fc44,N,0
c6ef5c,T,1
b1de1b,T,0
3eceaf,T,1
7b2d76,T,0
98457a,T,1
6fed70,N,0
7701cf,N,1
6e2616,N,0
5de3dc,N,1
680576,T,0
2310ad,N,1
fff641,N,0
c1b997,T,1
3d27f1,N,0
19068a,T,1
a047e7,N,0
abf487,N,1
a70ea9,N,0
b941aa,T,1
22372b,N,0
2e1853,N,1
71071a,T,0
5e8d52,T,1
